State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty
Tennessee,Bradley,98963,37947,22.773684210526305,49157.94736842105,36685.62632947082,58153.764959225606,36654.266799329824,15092.452222993123,25754.966572627436,15080.218849393297,87916.36886429052,22736,13999,89386,4219,837,57,330,4134,4664,2197,6609,6.7,1453.0,8340.0,35,19,1553.0,555.0,2639.0,24.0
Tennessee,Campbell,40716,16354,23.1272727272727,40044.90909090909,3048.4589875877687,6704.6549743769465,2516.2702119735122,1511.856251263352,3364.657039513605,1149.390835668407,36544.17852569349,8949,7011,39778,125,103,20,106,584,472,1227,3735,6.7,919.0,12086.0,33,23,612.0,132.0,1193.0,39.0
Tennessee,Cannon,13801,5472,17.5333333333333,51484.333333333336,319.83390986733,319.83390986733,0.0,146.2948394252452,146.2948394252452,0.0,12642.579981332929,3101,2216,13325,168,19,9,27,253,210,332,1321,8.0,266.0,12200.0,33,19,182.0,26.0,343.0,23.0
Tennessee,Carroll,28522,11507,16.712499999999974,41434.375,3735.880884028027,5222.244406311756,2539.87401834975,1307.1151408489789,1851.921999552471,832.862649079618,26003.88427992571,6253,5103,24755,2879,56,12,113,707,595,839,2370,7.1,575.0,10588.0,32,21,727.0,64.0,1050.0,31.0
Tennessee,Carter,57424,24197,23.85882352941172,42431.0,29445.957050324996,36075.0375296494,25748.25913899364,14922.139516694435,18365.11481529915,12938.309726725452,52450.33964441302,11532,9818,55335,760,181,8,116,1024,890,1325,5058,6.0,1007.0,8785.0,32,24,578.0,120.0,1573.0,33.0
Tennessee,Cheatham,39105,14520,15.266666666666643,60936.11111111111,3246.198596349152,6511.685141832391,3066.683213250391,928.3847091961034,2126.263706691493,848.568232278245,36794.00269299353,9752,4250,37374,564,140,15,128,884,910,406,2188,8.5,633.0,9332.0,34,17,357.0,122.0,987.0,16.0
Tennessee,Chester,17131,6208,21.0333333333333,50615.333333333336,1950.1736591547783,3669.315812433082,696.106489841826,914.2013237023381,1912.0032930425918,360.072092014976,14045.598304919098,3990,2500,15021,1569,60,2,72,407,343,330,1341,7.1,260.0,7974.0,32,22,261.0,45.0,496.0,27.0
Tennessee,Claiborne,32213,12853,24.26666666666662,40009.666666666664,2018.2536564342613,2018.2536564342613,0.0,1000.5615252130452,1000.5615252130452,0.0,30095.92712099656,6775,5142,31224,282,166,5,94,442,265,797,3241,6.6,714.0,12500.0,31,20,479.0,147.0,932.0,33.0
Tennessee,Clay,7861,3358,21.15,36133.0,10.7763575911521,10.7763575911521,0.0,5.12178009375929,5.12178009375929,0.0,7000.70957876054,1641,1579,7589,104,7,1,21,139,126,221,756,7.6,177.0,12125.0,31,22,224.0,13.0,271.0,35.0
Tennessee,Cocke,35662,14788,24.37777777777775,36125.444444444445,7530.773651929027,8953.263086650679,4016.29313618879,4111.423232173475,5027.882169683626,2274.99507843118,33540.14593067989,7651,5965,33911,669,110,24,136,812,628,1090,4229,6.2,843.0,13307.0,34,22,586.0,207.0,1148.0,40.0
Tennessee,Coffee,52796,20926,19.449999999999978,45811.833333333336,7520.197925308604,15437.874012430542,6717.06559683022,3206.373407638561,6464.590082928189,2823.2376937055005,45714.06887234893,12860,8322,48561,1845,452,22,166,1750,2007,1157,4437,7.2,974.0,10145.0,36,20,885.0,227.0,1364.0,24.0
Tennessee,Crockett,14586,5709,17.359999999999957,45702.4,2122.635740506821,3200.079063280281,2013.6565706062,999.2683217696407,1451.4182143180096,961.228048066201,12144.05177419506,3571,2395,11478,1843,25,4,19,1217,1274,296,1002,7.6,237.0,10039.0,33,24,338.0,79.0,450.0,26.0
Tennessee,Cumberland,56053,23791,15.714285714285703,46090.28571428572,17675.511114384244,20727.673442050727,14521.568987566348,6887.613821885129,8842.505415346135,5344.775487427134,52414.42569143778,10679,14553,54266,161,238,37,173,1178,1307,1203,3916,7.6,1084.0,10706.0,29,19,1729.0,216.0,1660.0,28.0
Tennessee,Davidson,626681,259499,20.02919254658381,62246.416149068325,148279.2336162354,400930.926905196,148279.2336162354,48814.66466411419,154546.7404015277,48814.66466411419,437079.7170063085,136391,65403,385039,173730,19027,394,2091,46400,61117,19378,40717,6.5,7799.0,7757.0,31,18,4291.0,7211.0,16259.0,27.0
Tennessee,DeKalb,18723,7420,19.774999999999952,46798.75,2937.509677529453,4978.178878908443,2808.96585703653,1279.1837814432474,2341.7696428785575,1229.93327559283,16648.12684988725,4291,2956,17352,250,49,2,35,1035,1239,414,1533,7.8,358.0,11454.0,32,21,274.0,50.0,518.0,31.0
Tennessee,Decatur,11757,4927,22.25,49010.75,895.5762305918411,895.5762305918411,0.0,346.497239554147,346.497239554147,0.0,11001.366115948269,2525,2428,11139,338,25,6,26,223,308,202,1046,7.3,233.0,10075.0,36,19,305.0,46.0,383.0,29.0
